         Phone Data (Questions: 9.8, 11.5, 12.10)
----------------------------------------------------
           Number of
       ID  Phones   A1   A2    A3    A4    A5    A6
       81     3     4     5     6     4     5     7
       82     2     4     7     5     4     5     5
       83     2     5     3     5     6     7     5
       84     1     3     7     4     6     2     0
       85     2     1     2     5     5     3     4
       86     1     4     6     6     8     4     4
       87     1     6     5     4     4     5     3
       88     3     4     3     7     5     3     6
       89     3     5     4     6     4     6     7
       90     1     8     7     5     6     3     3
       91     1     4     7     1     7     5     4
       92     1     4     2     1     9     6     4
       93     2     3     3     6     4     3     4
       94     2     6     5     5     8     4     6
       95     1     5     6     2     6     6     4
       96     2     6     3     7     3     4     5
       97     1     6     6     3     5     4     2
       98     2     5     4     5     4     6     6
       99     1     7     6     1     7     5     4
      100     1     9     5     5     5     5     1
      101     1     7     3     2     7     4     5
      102     1     8     5     5     5     4     2
      103     2     5     3     3     8     2     3
      104     2     5     1     5     5     5     3
      105     2     2     2     5     7     4     5
      106     1     6     5     2     5     6     7
      107     2     4     5     5     5     3     5
      108     1     5     4     3     6     6     2
      109     2     4     4     4     4     5     4
      110     2     4     7     4     6     4     5
      111     1     5     6     3     6     4     0
      112     2     7     6     3     7     2     3
      113     2     5     2     7     5     3     4
      114     2     6     4     5     5     6     4
      115     1     4     7     4     5     7     3
      116     2     6     4     6     1     7     5
      117     1     5     5     3     5     3     2
      118     1     6     5     5     5     5     3
      119     3     4     7     7     3     6     6
      120     3     3     2     8     3     5     8
      121     2     5     3     5     7     5     4
      122     1     7     5     3     6     4     1
      123     2     4     5     4     6     5     4
      124     1     4     5     2     2     7     3
      125     2     4     7     4     2     5     5
      126     2     7     8     7     5     4     5
      127     1     6     5     0     4     5     0
      128     1     4     6     4     7     7     2
      129     1     6     5     3     7     4     1
      130     2     4     7     4     6     3     3
      131     2     4     7     3     6     2     2
      132     1     6     8     6     4     5     3
      133     3     0     7     4     2     5     6
      134     1     7     9     5     3     6     1
      135     1     5     5     4     3     7     4
      136     3     4     3     4     6     7     6
      137     3     4     3     3     5     4     7
      138     1     4     4     2     7     4     4
      139     2     4     6     6     4     3     4
      140     1     6     4     4     6     2     5
      141     2     6     3     6     6     2     4
      142     3     2     2     6     1     5     3
      143     1     6     6     7     7     5     2
      144     2     5     4     7     4     5     3
      145     1     9     1     5     5     6     4
      146     3     4     7     4     5     7     6
      147     1     7     5     4     5     6     4
      148     1     7     5     2     6     7     0
      149     2     6     5     7     5     3     3
      150     2     4     5     2     7     3     5
      151     3     2     3     6     4     2     6
      152     1     9     6     2     9     6     0
      153     1     2     6     5     9     5     3
      154     2     4     3     5     5     8     5
      155     3     5     3     6     1     8     5
      156     1     4     5     8     6     7     2
      157     2     7     4     7     5     3     4
      158     1     6     7     4     4     6     3
      159     2     4     5     3     5     5     3
      160     2     6     3     6     5     6     3
      161     2     6     4     4     5     4     2
      162     1     7     6     5     6     2     4
      163     2     5     2     4     5     4     6
      164     2     8     5     5     4     6     1
      165     1     8     6     0     2     2     4
      166     2     6     3     6     5     4     5
      167     1    10     5     5     5     5     6
      168     1     6     8     0     5     7     3
      169     2     7     0     6     6     5     6
      170     1     4     6     2     6     7     1
      171     1     2     6     3     2     5     1
      172     1     6     6     5     7     5     3
      173     2     6     5     5     4     4     5
      174     2     6     1     5     4     2     5
      175     3     6     3     7     4     6     6
      176     1     6     7     1     5     6     2
      177     1     8     5     3     7     4     0
      178     2     2     6     4     4     2     4
      179     3     5     5     6     5     6     8
      180     2     3     5     6     1     8     3
      181     3     2     3     4     4     6     5
      182     2     5     4     2     5     3     5
      183     2     3     5     4     7     6     6
      184     3     7     3     6     5     6     6
      185     1     4     6     1     4     5     4
      186     3     4     2     7     5     2     4
      187     2     4     3     4     6     4     4
      188     1     6     4     4     9     4     0
      189     1     8     7     6     5     5     2
      190     3     5     0     6     3     5     4
      191     2     6     2     3     5     5     4
      192     1     4     8     4     7     6     3
      193     1     4     5     4     5     7     1
      194     1     7     6     3     6     3     1
      195     2     2     3     5     7     2     5
      196     1     6     4     2     6     6     2
      197     2     4     5     6     4     7     5
      198     2     3     4     6     3     2     2
      199     2     6     4     4     5     7     6
      200     2     5     3     5     5     3     5
      201     2     4     5     4     5     2     4
      202     1     5     4     5     7     6     1
      203     1     8     6     3     8     4     4
      204     1     6     7     2     6     6     4
      205     1     3     6     3     5     3     4
      206     1     7     8     7     6     7     2
      207     1     4     7     5     6     4     4
      208     2     5     4     4     7     4     3
      209     2     5     3     6     7     3     3
      210     1     6     7     0     7     4     0
      211     1     5     5     2     7     8     1
      212     3     3     4     7     2     4     8
      213     1     6     4     8     4     6     1
      214     3     3     5     5     5     6     6
      215     1     5     4     3     4     6     3
      216     2     5     4     4     6     4     5
      217     2     3     4     3     3     5     4
      218     3     4     5     5     9     4     5
      219     1     8     7     2     7     3     2
      220     3     1     3     8     6     5     4
      221     2     5     3     6     4     4     4
      222     2     4     2     6     4     1     4
      223     1     6     6     5     5     7     0
      224     1     8     6     1     8     5     1
      225     1     5     5     3     5     7     4
      226     1     7     5     6     1     6     2
      227     1     7     4     5     6     4     1
      228     1     6     6     4     4     6     1
      229     2     3     4     5     6     3     4
      230     2     5     6     6     3     3     6
      231     1     4     5     2     7     5     2
      232     1     4     3     2     9     2     2
      233     1     7     6     5     6     2     0
      234     2     5     3     6     3     2     4
      235     1     3     7     4     6     7     0
      236     2     3     5     4     7     6     6
      237     2     4     3     4     5     5     4
      238     2     4     2     6     4     0     6
      239     3     0     2     7     4     5     7
      240     3     3     3     6     6     2     7
      241     2     4     2     4     2     3     6
      242     1     6     6     3     4     5     7
      243     2     7     5     5     6     5     4
      244     1     4     8     4     5     3     2
      245     1     8     6     3     7     6     3
      246     3     5     4     4     5     8     6
      247     1     3     7     4     4     8     4
      248     3     4     1     5     3     5     5
      249     1     6     5     2     7     5     4
      250     1     9     7     5     6     3     5
-----------------------------------------------------

